Orthogroup	Mycobacterium_leprae	Pseudomonas_aeruginosa	Total
OG0000205	3	1	4
OG0000206	1	3	4
OG0000207	2	2	4
OG0000208	1	3	4
OG0000209	3	1	4
OG0000210	1	3	4
OG0000211	1	3	4
OG0000212	1	3	4
OG0000213	3	1	4
OG0000214	3	1	4
OG0000215	1	3	4
OG0000216	1	3	4
OG0000217	2	2	4
OG0000218	3	1	4
OG0000219	1	3	4
OG0000220	1	3	4
OG0000221	1	3	4
OG0000222	1	3	4
OG0000223	2	2	4
OG0000224	1	3	4
OG0000225	2	2	4
OG0000226	3	1	4
OG0000227	1	3	4
OG0000228	1	3	4
OG0000229	1	3	4
OG0000230	1	3	4
OG0000231	1	3	4
OG0000232	1	3	4
OG0000233	1	3	4
OG0000234	1	3	4
OG0000235	1	3	4
OG0000236	1	3	4
OG0000237	1	3	4
OG0000238	1	3	4
OG0000239	1	3	4
OG0000240	1	3	4
OG0000241	1	3	4
OG0000242	1	3	4
OG0000243	1	3	4
OG0000244	1	3	4
OG0000245	1	3	4
OG0000246	1	3	4
OG0000247	1	3	4
OG0000248	1	3	4
OG0000249	1	3	4
OG0000250	1	3	4
OG0000251	1	3	4
OG0000252	1	3	4
OG0000253	0	4	4
OG0000254	0	4	4
OG0000255	0	4	4
OG0000256	0	4	4
OG0000257	0	4	4
OG0000258	0	4	4
OG0000259	0	4	4
OG0000260	0	4	4
OG0000261	0	4	4
OG0000262	0	4	4
OG0000263	0	4	4
OG0000264	0	4	4
OG0000265	0	4	4
OG0000266	0	4	4
OG0000267	0	4	4
OG0000268	0	4	4
OG0000269	0	4	4
OG0000270	0	4	4
OG0000271	0	4	4
OG0000272	0	4	4
OG0000273	0	4	4
OG0000274	0	4	4
OG0000275	0	4	4
OG0000276	0	4	4
OG0000277	0	4	4
OG0000278	0	4	4
OG0000279	0	4	4
OG0000280	0	4	4
OG0000281	0	4	4
OG0000282	0	4	4
OG0000283	0	4	4
OG0000284	0	4	4
OG0000285	0	4	4
OG0000286	0	4	4
OG0000287	0	4	4
OG0000288	0	4	4
OG0000289	0	4	4
OG0000290	0	4	4
OG0000291	0	4	4
OG0000292	0	4	4
OG0000293	0	4	4
OG0000294	0	4	4
OG0000295	0	4	4
OG0000296	0	4	4
OG0000297	0	4	4
OG0000298	0	4	4
OG0000299	0	4	4
OG0000300	0	4	4
OG0000301	0	4	4
OG0000302	0	4	4
OG0000303	1	2	3
OG0000304	1	2	3
OG0000305	1	2	3
OG0000306	3	0	3
OG0000307	3	0	3
OG0000308	1	2	3
OG0000309	3	0	3
OG0000310	2	1	3
OG0000311	1	2	3
OG0000312	3	0	3
OG0000313	3	0	3
OG0000314	3	0	3
OG0000315	3	0	3
OG0000316	1	2	3
OG0000317	2	1	3
OG0000318	1	2	3
OG0000319	1	2	3
OG0000320	1	2	3
OG0000321	1	2	3
OG0000322	2	1	3
OG0000323	1	2	3
OG0000324	1	2	3
OG0000325	1	2	3
OG0000326	1	2	3
OG0000327	2	1	3
OG0000328	3	0	3
OG0000329	2	1	3
OG0000330	2	1	3
OG0000331	1	2	3
OG0000332	2	1	3
OG0000333	2	1	3
OG0000334	1	2	3
OG0000335	2	1	3
OG0000336	2	1	3
OG0000337	1	2	3
OG0000338	1	2	3
OG0000339	1	2	3
OG0000340	1	2	3
OG0000341	1	2	3
OG0000342	1	2	3
OG0000343	1	2	3
OG0000344	1	2	3
OG0000345	1	2	3
OG0000346	1	2	3
OG0000347	1	2	3
OG0000348	1	2	3
OG0000349	1	2	3
OG0000350	1	2	3
OG0000351	1	2	3
OG0000352	2	1	3
OG0000353	1	2	3
OG0000354	1	2	3
OG0000355	1	2	3
OG0000356	2	1	3
OG0000357	1	2	3
OG0000358	1	2	3
OG0000359	1	2	3
OG0000360	2	1	3
OG0000361	1	2	3
OG0000362	1	2	3
OG0000363	1	2	3
OG0000364	1	2	3
OG0000365	1	2	3
OG0000366	1	2	3
OG0000367	1	2	3
OG0000368	1	2	3
OG0000369	1	2	3
OG0000370	1	2	3
OG0000371	1	2	3
OG0000372	1	2	3
OG0000373	1	2	3
OG0000374	3	0	3
OG0000375	1	2	3
OG0000376	2	1	3
OG0000377	1	2	3
OG0000378	1	2	3
OG0000379	1	2	3
OG0000380	1	2	3
OG0000381	1	2	3
OG0000382	1	2	3
OG0000383	1	2	3
OG0000384	1	2	3
OG0000385	1	2	3
OG0000386	1	2	3
OG0000387	3	0	3
OG0000388	1	2	3
OG0000389	3	0	3
OG0000390	1	2	3
OG0000391	2	1	3
OG0000392	1	2	3
OG0000393	1	2	3
OG0000394	1	2	3
OG0000395	2	1	3
OG0000396	1	2	3
OG0000397	1	2	3
OG0000398	1	2	3
OG0000399	1	2	3
OG0000400	1	2	3
OG0000401	1	2	3
OG0000402	1	2	3
OG0000403	1	2	3
OG0000404	1	2	3
OG0000405	1	2	3
OG0000406	1	2	3
OG0000407	1	2	3
OG0000408	1	2	3
OG0000409	1	2	3
OG0000410	2	1	3
OG0000411	1	2	3
OG0000412	1	2	3
OG0000413	1	2	3
OG0000414	1	2	3
OG0000415	1	2	3
OG0000416	1	2	3
OG0000417	1	2	3
OG0000418	1	2	3
OG0000419	1	2	3
OG0000420	1	2	3
OG0000421	1	2	3
OG0000422	1	2	3
OG0000423	1	2	3
OG0000424	1	2	3
OG0000425	1	2	3
OG0000426	1	2	3
OG0000427	2	1	3
OG0000428	1	2	3
OG0000429	1	2	3
OG0000430	1	2	3
OG0000431	1	2	3
OG0000432	1	2	3
OG0000433	1	2	3
OG0000434	2	1	3
OG0000435	1	2	3
OG0000436	1	2	3
OG0000437	1	2	3
OG0000438	1	2	3
OG0000439	1	2	3
OG0000440	1	2	3
OG0000441	1	2	3
OG0000442	0	3	3
OG0000443	0	3	3
OG0000444	0	3	3
OG0000445	0	3	3
OG0000446	0	3	3
OG0000447	0	3	3
OG0000448	0	3	3
OG0000449	0	3	3
OG0000450	0	3	3
OG0000451	0	3	3
OG0000452	0	3	3
OG0000453	0	3	3
OG0000454	0	3	3
OG0000455	0	3	3
OG0000456	0	3	3
OG0000457	0	3	3
OG0000458	0	3	3
OG0000459	0	3	3
OG0000460	0	3	3
OG0000461	0	3	3
OG0000462	0	3	3
OG0000463	0	3	3
OG0000464	0	3	3
OG0000465	0	3	3
OG0000466	0	3	3
OG0000467	0	3	3
OG0000468	0	3	3
OG0000469	0	3	3
OG0000470	0	3	3
OG0000471	0	3	3
OG0000472	0	3	3
OG0000473	0	3	3
OG0000474	0	3	3
OG0000475	0	3	3
OG0000476	0	3	3
OG0000477	0	3	3
OG0000478	0	3	3
OG0000479	0	3	3
OG0000480	0	3	3
OG0000481	0	3	3
OG0000482	0	3	3
OG0000483	0	3	3
OG0000484	0	3	3
OG0000485	0	3	3
OG0000486	0	3	3
OG0000487	0	3	3
OG0000488	0	3	3
OG0000489	0	3	3
OG0000490	0	3	3
OG0000491	0	3	3
OG0000492	0	3	3
OG0000493	0	3	3
OG0000494	0	3	3
OG0000495	0	3	3
OG0000496	0	3	3
OG0000497	0	3	3
OG0000498	0	3	3
OG0000499	0	3	3
OG0000500	0	3	3
OG0000501	0	3	3
OG0000502	0	3	3
OG0000503	0	3	3
OG0000504	0	3	3
OG0000505	0	3	3
OG0000506	0	3	3
OG0000507	0	3	3
OG0000508	0	3	3
OG0000509	0	3	3
OG0000510	0	3	3
OG0000511	0	3	3
OG0000512	0	3	3
OG0000513	0	3	3
OG0000514	0	3	3
OG0000515	0	3	3
OG0000516	0	3	3
OG0000517	0	3	3
OG0000518	0	3	3
OG0000519	0	3	3
OG0000520	0	3	3
OG0000521	0	3	3
OG0000522	0	3	3
OG0000523	0	3	3
OG0000524	0	3	3
OG0000525	0	3	3
OG0000526	0	3	3
OG0000527	0	3	3
OG0000528	0	3	3
OG0000529	0	3	3
OG0000530	0	3	3
OG0000531	0	3	3
OG0000532	0	3	3
OG0000533	0	3	3
OG0000534	0	3	3
OG0000535	0	3	3
OG0000536	0	3	3
OG0000537	0	3	3
OG0000538	1	1	2
OG0000539	1	1	2
OG0000540	1	1	2
OG0000541	1	1	2
OG0000542	2	0	2
OG0000543	1	1	2
OG0000544	2	0	2
OG0000545	2	0	2
OG0000546	2	0	2
OG0000547	2	0	2
OG0000548	1	1	2
OG0000549	1	1	2
OG0000550	1	1	2
OG0000551	1	1	2
OG0000552	1	1	2
OG0000553	1	1	2
OG0000554	1	1	2
OG0000555	2	0	2
OG0000556	1	1	2
OG0000557	1	1	2
OG0000558	2	0	2
OG0000559	1	1	2
OG0000560	1	1	2
OG0000561	1	1	2
OG0000562	1	1	2
OG0000563	1	1	2
OG0000564	1	1	2
OG0000565	1	1	2
OG0000566	1	1	2
OG0000567	1	1	2
OG0000568	1	1	2
OG0000569	1	1	2
OG0000570	1	1	2
OG0000571	1	1	2
OG0000572	1	1	2
OG0000573	1	1	2
OG0000574	1	1	2
OG0000575	1	1	2
OG0000576	1	1	2
OG0000577	1	1	2
OG0000578	1	1	2
OG0000579	1	1	2
OG0000580	1	1	2
OG0000581	1	1	2
OG0000582	1	1	2
OG0000583	1	1	2
OG0000584	1	1	2
OG0000585	1	1	2
OG0000586	1	1	2
OG0000587	1	1	2
OG0000588	1	1	2
OG0000589	1	1	2
OG0000590	1	1	2
OG0000591	1	1	2
OG0000592	1	1	2
OG0000593	1	1	2
OG0000594	1	1	2
OG0000595	1	1	2
OG0000596	1	1	2
OG0000597	1	1	2
OG0000598	1	1	2
OG0000599	1	1	2
OG0000600	1	1	2
OG0000601	1	1	2
OG0000602	1	1	2
OG0000603	1	1	2
OG0000604	1	1	2
OG0000605	1	1	2
OG0000606	1	1	2
OG0000607	1	1	2
OG0000608	2	0	2
OG0000609	1	1	2
OG0000610	1	1	2
OG0000611	1	1	2
OG0000612	2	0	2
OG0000613	1	1	2
OG0000614	1	1	2
OG0000615	1	1	2
OG0000616	2	0	2
OG0000617	1	1	2
OG0000618	1	1	2
OG0000619	1	1	2
OG0000620	1	1	2
OG0000621	1	1	2
OG0000622	1	1	2
OG0000623	1	1	2
OG0000624	1	1	2
OG0000625	1	1	2
OG0000626	1	1	2
OG0000627	1	1	2
OG0000628	1	1	2
OG0000629	1	1	2
OG0000630	1	1	2
OG0000631	1	1	2
OG0000632	1	1	2
OG0000633	1	1	2
OG0000634	1	1	2
OG0000635	1	1	2
OG0000636	1	1	2
OG0000637	1	1	2
OG0000638	1	1	2
OG0000639	1	1	2
OG0000640	1	1	2
OG0000641	1	1	2
OG0000642	1	1	2
OG0000643	1	1	2
OG0000644	1	1	2
OG0000645	1	1	2
OG0000646	1	1	2
OG0000647	1	1	2
OG0000648	1	1	2
OG0000649	1	1	2
OG0000650	1	1	2
OG0000651	1	1	2
OG0000652	1	1	2
OG0000653	1	1	2
OG0000654	1	1	2
OG0000655	2	0	2
OG0000656	2	0	2
OG0000657	1	1	2
OG0000658	1	1	2
OG0000659	1	1	2
OG0000660	1	1	2
OG0000661	1	1	2
OG0000662	1	1	2
OG0000663	1	1	2
OG0000664	1	1	2
OG0000665	1	1	2
OG0000666	1	1	2
OG0000667	1	1	2
OG0000668	1	1	2
OG0000669	2	0	2
OG0000670	1	1	2
OG0000671	1	1	2
OG0000672	1	1	2
OG0000673	1	1	2
OG0000674	1	1	2
OG0000675	1	1	2
OG0000676	1	1	2
OG0000677	1	1	2
OG0000678	1	1	2
OG0000679	1	1	2
OG0000680	1	1	2
OG0000681	1	1	2
OG0000682	1	1	2
OG0000683	1	1	2
OG0000684	1	1	2
OG0000685	1	1	2
OG0000686	1	1	2
OG0000687	1	1	2
OG0000688	1	1	2
OG0000689	2	0	2
OG0000690	1	1	2
OG0000691	1	1	2
OG0000692	1	1	2
OG0000693	1	1	2
OG0000694	1	1	2
OG0000695	1	1	2
OG0000696	2	0	2
OG0000697	1	1	2
OG0000698	1	1	2
OG0000699	1	1	2
OG0000700	1	1	2
OG0000701	1	1	2
OG0000702	1	1	2
OG0000703	1	1	2
OG0000704	1	1	2
OG0000705	1	1	2
OG0000706	1	1	2
OG0000707	1	1	2
OG0000708	1	1	2
OG0000709	1	1	2
OG0000710	1	1	2
OG0000711	1	1	2
OG0000712	1	1	2
OG0000713	2	0	2
OG0000714	1	1	2
OG0000715	1	1	2
OG0000716	1	1	2
OG0000717	1	1	2
OG0000718	1	1	2
OG0000719	1	1	2
OG0000720	1	1	2
OG0000721	1	1	2
OG0000722	1	1	2
OG0000723	2	0	2
OG0000724	1	1	2
OG0000725	2	0	2
OG0000726	1	1	2
OG0000727	1	1	2
OG0000728	1	1	2
OG0000729	1	1	2
OG0000730	1	1	2
OG0000731	1	1	2
OG0000732	1	1	2
OG0000733	1	1	2
OG0000734	1	1	2
OG0000735	2	0	2
OG0000736	2	0	2
OG0000737	1	1	2
OG0000738	1	1	2
OG0000739	1	1	2
OG0000740	1	1	2
OG0000741	1	1	2
OG0000742	1	1	2
OG0000743	1	1	2
OG0000744	1	1	2
OG0000745	1	1	2
OG0000746	2	0	2
OG0000747	1	1	2
OG0000748	1	1	2
OG0000749	1	1	2
OG0000750	1	1	2
OG0000751	2	0	2
OG0000752	1	1	2
OG0000753	1	1	2
OG0000754	1	1	2
OG0000755	1	1	2
OG0000756	1	1	2
OG0000757	1	1	2
OG0000758	1	1	2
OG0000759	1	1	2
OG0000760	1	1	2
OG0000761	1	1	2
OG0000762	1	1	2
OG0000763	1	1	2
OG0000764	1	1	2
OG0000765	1	1	2
OG0000766	1	1	2
OG0000767	1	1	2
OG0000768	1	1	2
OG0000769	1	1	2
OG0000770	1	1	2
OG0000771	1	1	2
OG0000772	1	1	2
OG0000773	1	1	2
OG0000774	1	1	2
OG0000775	1	1	2
OG0000776	1	1	2
OG0000777	1	1	2
OG0000778	1	1	2
OG0000779	1	1	2
OG0000780	1	1	2
OG0000781	1	1	2
OG0000782	1	1	2
OG0000783	1	1	2
OG0000784	1	1	2
OG0000785	1	1	2
OG0000786	1	1	2
OG0000787	2	0	2
OG0000788	1	1	2
OG0000789	1	1	2
OG0000790	2	0	2
OG0000791	1	1	2
OG0000792	1	1	2
OG0000793	2	0	2
OG0000794	1	1	2
OG0000795	1	1	2
OG0000796	1	1	2
OG0000797	1	1	2
OG0000798	1	1	2
OG0000799	1	1	2
OG0000800	1	1	2
OG0000801	1	1	2
OG0000802	1	1	2
OG0000803	1	1	2
OG0000804	1	1	2
OG0000805	1	1	2
OG0000806	1	1	2
OG0000807	1	1	2
OG0000808	1	1	2
OG0000809	1	1	2
OG0000810	1	1	2
OG0000811	1	1	2
OG0000812	1	1	2
OG0000813	1	1	2
OG0000814	1	1	2
OG0000815	1	1	2
OG0000816	1	1	2
OG0000817	1	1	2
OG0000818	1	1	2
OG0000819	1	1	2
OG0000820	1	1	2
OG0000821	1	1	2
OG0000822	1	1	2
OG0000823	1	1	2
OG0000824	1	1	2
OG0000825	1	1	2
OG0000826	1	1	2
OG0000827	1	1	2
OG0000828	1	1	2
OG0000829	1	1	2
OG0000830	1	1	2
OG0000831	1	1	2
OG0000832	1	1	2
OG0000833	1	1	2
OG0000834	1	1	2
OG0000835	1	1	2
OG0000836	1	1	2
OG0000837	1	1	2
OG0000838	1	1	2
OG0000839	1	1	2
OG0000840	1	1	2
OG0000841	1	1	2
OG0000842	1	1	2
OG0000843	1	1	2
OG0000844	1	1	2
OG0000845	1	1	2
OG0000846	1	1	2
OG0000847	1	1	2
OG0000848	1	1	2
OG0000849	1	1	2
OG0000850	1	1	2
OG0000851	1	1	2
OG0000852	1	1	2
OG0000853	1	1	2
OG0000854	1	1	2
OG0000855	1	1	2
OG0000856	1	1	2
OG0000857	1	1	2
OG0000858	1	1	2
OG0000859	1	1	2
OG0000860	1	1	2
OG0000861	1	1	2
OG0000862	1	1	2
OG0000863	1	1	2
OG0000864	1	1	2
OG0000865	1	1	2
OG0000866	1	1	2
OG0000867	1	1	2
OG0000868	1	1	2
OG0000869	1	1	2
OG0000870	1	1	2
OG0000871	1	1	2
OG0000872	1	1	2
OG0000873	1	1	2
OG0000874	1	1	2
OG0000875	1	1	2
OG0000876	1	1	2
OG0000877	1	1	2
OG0000878	1	1	2
OG0000879	1	1	2
OG0000880	1	1	2
OG0000881	1	1	2
OG0000882	1	1	2
OG0000883	1	1	2
OG0000884	1	1	2
OG0000885	1	1	2
OG0000886	1	1	2
OG0000887	1	1	2
OG0000888	1	1	2
OG0000889	2	0	2
OG0000890	2	0	2
OG0000891	1	1	2
OG0000892	1	1	2
OG0000893	2	0	2
OG0000894	1	1	2
OG0000895	1	1	2
OG0000896	1	1	2
OG0000897	1	1	2
OG0000898	1	1	2
OG0000899	1	1	2
OG0000900	1	1	2
OG0000901	1	1	2
OG0000902	1	1	2
OG0000903	1	1	2
OG0000904	1	1	2
OG0000905	1	1	2
OG0000906	1	1	2
OG0000907	1	1	2
OG0000908	1	1	2
OG0000909	1	1	2
OG0000910	1	1	2
OG0000911	1	1	2
OG0000912	1	1	2
OG0000913	1	1	2
OG0000914	1	1	2
OG0000915	1	1	2
OG0000916	1	1	2
OG0000917	1	1	2
OG0000918	1	1	2
OG0000919	1	1	2
OG0000920	1	1	2
OG0000921	1	1	2
OG0000922	1	1	2
OG0000923	1	1	2
OG0000924	1	1	2
OG0000925	1	1	2
OG0000926	1	1	2
OG0000927	1	1	2
OG0000928	1	1	2
OG0000929	2	0	2
OG0000930	1	1	2
OG0000931	1	1	2
OG0000932	1	1	2
OG0000933	1	1	2
OG0000934	1	1	2
OG0000935	1	1	2
OG0000936	1	1	2
OG0000937	1	1	2
OG0000938	1	1	2
OG0000939	2	0	2
OG0000940	1	1	2
OG0000941	1	1	2
OG0000942	1	1	2
OG0000943	1	1	2
OG0000944	1	1	2
OG0000945	1	1	2
OG0000946	1	1	2
OG0000947	1	1	2
OG0000948	1	1	2
OG0000949	2	0	2
OG0000950	2	0	2
OG0000951	1	1	2
OG0000952	1	1	2
OG0000953	1	1	2
OG0000954	1	1	2
OG0000955	1	1	2
OG0000956	1	1	2
OG0000957	1	1	2
OG0000958	1	1	2
OG0000959	1	1	2
OG0000960	1	1	2
OG0000961	1	1	2
OG0000962	1	1	2
OG0000963	1	1	2
OG0000964	1	1	2
OG0000965	1	1	2
OG0000966	1	1	2
OG0000967	1	1	2
OG0000968	1	1	2
OG0000969	1	1	2
OG0000970	1	1	2
OG0000971	1	1	2
OG0000972	1	1	2
OG0000973	1	1	2
OG0000974	1	1	2
OG0000975	1	1	2
OG0000976	1	1	2
OG0000977	1	1	2
OG0000978	1	1	2
OG0000979	2	0	2
OG0000980	1	1	2
OG0000981	0	2	2
OG0000982	0	2	2
OG0000983	0	2	2
OG0000984	0	2	2
OG0000985	0	2	2
OG0000986	0	2	2
OG0000987	0	2	2
OG0000988	0	2	2
OG0000989	0	2	2
OG0000990	0	2	2
OG0000991	0	2	2
OG0000992	0	2	2
OG0000993	0	2	2
OG0000994	0	2	2
OG0000995	0	2	2
OG0000996	0	2	2
OG0000997	0	2	2
OG0000998	0	2	2
OG0000999	0	2	2
OG0001000	0	2	2
OG0001001	0	2	2
OG0001002	0	2	2
OG0001003	0	2	2
OG0001004	0	2	2
OG0001005	0	2	2
OG0001006	0	2	2
OG0001007	0	2	2
OG0001008	0	2	2
OG0001009	0	2	2
OG0001010	0	2	2
OG0001011	0	2	2
OG0001012	0	2	2
OG0001013	0	2	2
OG0001014	0	2	2
OG0001015	0	2	2
OG0001016	0	2	2
OG0001017	0	2	2
OG0001018	0	2	2
OG0001019	0	2	2
OG0001020	0	2	2
OG0001021	0	2	2
OG0001022	0	2	2
OG0001023	0	2	2
OG0001024	0	2	2
OG0001025	0	2	2
OG0001026	0	2	2
OG0001027	0	2	2
OG0001028	0	2	2
OG0001029	0	2	2
OG0001030	0	2	2
OG0001031	0	2	2
OG0001032	0	2	2
OG0001033	0	2	2
OG0001034	0	2	2
OG0001035	0	2	2
OG0001036	0	2	2
OG0001037	0	2	2
OG0001038	0	2	2
OG0001039	0	2	2
OG0001040	0	2	2
OG0001041	0	2	2
OG0001042	0	2	2
OG0001043	0	2	2
OG0001044	0	2	2
OG0001045	0	2	2
OG0001046	0	2	2
OG0001047	0	2	2
OG0001048	0	2	2
OG0001049	0	2	2
OG0001050	0	2	2
OG0001051	0	2	2
OG0001052	0	2	2
OG0001053	0	2	2
OG0001054	0	2	2
OG0001055	0	2	2
OG0001056	0	2	2
OG0001057	0	2	2
OG0001058	0	2	2
OG0001059	0	2	2
OG0001060	0	2	2
OG0001061	0	2	2
OG0001062	0	2	2
OG0001063	0	2	2
OG0001064	0	2	2
OG0001065	0	2	2
OG0001066	0	2	2
OG0001067	0	2	2
OG0001068	0	2	2
OG0001069	0	2	2
OG0001070	0	2	2
OG0001071	0	2	2
OG0001072	0	2	2
OG0001073	0	2	2
OG0001074	0	2	2
OG0001075	0	2	2
OG0001076	0	2	2
OG0001077	0	2	2
OG0001078	0	2	2
OG0001079	0	2	2
OG0001080	0	2	2
OG0001081	0	2	2
OG0001082	0	2	2
OG0001083	0	2	2
OG0001084	0	2	2
OG0001085	0	2	2
OG0001086	0	2	2
OG0001087	0	2	2
OG0001088	0	2	2
OG0001089	0	2	2
OG0001090	0	2	2
OG0001091	0	2	2
OG0001092	0	2	2
OG0001093	0	2	2
OG0001094	0	2	2
OG0001095	0	2	2
OG0001096	0	2	2
OG0001097	0	2	2
OG0001098	0	2	2
OG0001099	0	2	2
OG0001100	0	2	2
OG0001101	0	2	2
OG0001102	0	2	2
OG0001103	0	2	2
OG0001104	0	2	2
OG0001105	0	2	2
OG0001106	0	2	2
OG0001107	0	2	2
OG0001108	0	2	2
OG0001109	0	2	2
OG0001110	0	2	2
OG0001111	0	2	2
OG0001112	0	2	2
OG0001113	0	2	2
OG0001114	0	2	2
OG0001115	0	2	2
OG0001116	0	2	2
OG0001117	0	2	2
OG0001118	0	2	2
OG0001119	0	2	2
OG0001120	0	2	2
OG0001121	0	2	2
OG0001122	0	2	2
OG0001123	0	2	2
OG0001124	0	2	2
OG0001125	0	2	2
OG0001126	0	2	2
OG0001127	0	2	2
OG0001128	0	2	2
OG0001129	0	2	2
OG0001130	0	2	2
OG0001131	0	2	2
OG0001132	0	2	2
OG0001133	0	2	2
OG0001134	0	2	2
OG0001135	0	2	2
OG0001136	0	2	2
OG0001137	0	2	2
OG0001138	0	2	2
OG0001139	0	2	2
OG0001140	0	2	2
OG0001141	0	2	2
OG0001142	0	2	2
OG0001143	0	2	2
OG0001144	0	2	2
OG0001145	0	2	2
OG0001146	0	2	2
OG0001147	0	2	2
OG0001148	0	2	2
OG0001149	0	2	2
OG0001150	0	2	2
OG0001151	0	2	2
OG0001152	0	2	2
OG0001153	0	2	2
OG0001154	0	2	2
OG0001155	0	2	2
OG0001156	0	2	2
OG0001157	0	2	2
OG0001158	0	2	2
OG0001159	0	2	2
